org.apache.camel.Body	MemberReference,MemberReference
org.apache.camel.Expression	Expression,evaluate,ReferenceType,exchange,ReferenceType,ReferenceType
org.apache.camel.FailedToCreateProducerException	FailedToCreateProducerException,ReferenceType,VariableDeclarator,FailedToCreateProducerException,endpoint,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,getEndpoint,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.Header	MemberReference,MemberReference,ReferenceType
org.apache.camel.InvalidHeaderTypeException	InvalidHeaderTypeException,BasicType,VariableDeclarator,ReferenceType,VariableDeclarator,InvalidHeaderTypeException,cause,ReferenceType,headerValue,ReferenceType,StatementExpression,getMessage(),MemberReference,typeName(),MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,InvalidHeaderTypeException,message,ReferenceType,headerValue,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,getHeaderValue,ReferenceType,ReturnStatement,MemberReference,typeName,ReferenceType,headerValue,ReferenceType,ReturnStatement,MemberReference,getClass(),getName(),ReferenceType
org.apache.camel.Message	Message,getMessageId,ReferenceType,setMessageId,messageId,ReferenceType,getExchange,ReferenceType,getHeader,ReferenceType,name,ReferenceType,getHeader,ReferenceType,name,ReferenceType,type,ReferenceType,ReferenceType,setHeader,name,ReferenceType,value,ReferenceType,getHeaders,ReferenceType,ReferenceType,ReferenceType,setHeaders,headers,ReferenceType,ReferenceType,ReferenceType,getBody,ReferenceType,getBody,ReferenceType,type,ReferenceType,ReferenceType,setBody,body,ReferenceType,setBody,body,ReferenceType,type,ReferenceType,ReferenceType,copy,ReferenceType
org.apache.camel.MessageDriven	MemberReference,MemberReference,MemberReference,MemberReference,ReferenceType,ReferenceType
org.apache.camel.NoSuchEndpointException	NoSuchEndpointException,BasicType,VariableDeclarator,ReferenceType,VariableDeclarator,NoSuchEndpointException,uri,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,getUri,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.NoTypeConversionAvailableException	NoTypeConversionAvailableException,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,NoTypeConversionAvailableException,value,ReferenceType,type,ReferenceType,StatementExpression,MemberReference,getName(),StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,getValue,ReferenceType,ReturnStatement,MemberReference,getType,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.PollingConsumer	PollingConsumer,receive,ReferenceType,receiveNoWait,ReferenceType,receive,ReferenceType,timeout,BasicType,ReferenceType,ReferenceType,ReferenceType
org.apache.camel.Predicate	Predicate,matches,BasicType,exchange,ReferenceType,assertMatches,text,ReferenceType,exchange,ReferenceType
org.apache.camel.Processor	Processor,process,exchange,ReferenceType
org.apache.camel.Producer	Producer,getEndpoint,ReferenceType,ReferenceType,createExchange,ReferenceType,createExchange,ReferenceType,exchange,ReferenceType,ReferenceType,ReferenceType,ReferenceType
org.apache.camel.Property	MemberReference,MemberReference,ReferenceType
org.apache.camel.ResolveEndpointFailedException	ResolveEndpointFailedException,ReferenceType,VariableDeclarator,ResolveEndpointFailedException,uri,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,getUri,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.Route	Route,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,HashMap,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,ArrayList,ReferenceType,ReferenceType,Route,endpoint,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,getEndpoint,ReferenceType,ReferenceType,ReturnStatement,MemberReference,setEndpoint,endpoint,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,getProperties,ReferenceType,ReferenceType,ReferenceType,ReturnStatement,MemberReference,getServicesForRoute,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,ArrayList,ReferenceType,ReferenceType,getServices(),StatementExpression,addServices(),MemberReference,ReturnStatement,MemberReference,getServices,ReferenceType,ReferenceType,ReturnStatement,MemberReference,setServices,services,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,addServices,services,ReferenceType,ReferenceType,ReferenceType
org.apache.camel.RuntimeCamelException	RuntimeCamelException,BasicType,VariableDeclarator,RuntimeCamelException,RuntimeCamelException,message,ReferenceType,StatementExpression,MemberReference,RuntimeCamelException,message,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,RuntimeCamelException,cause,ReferenceType,StatementExpression,MemberReference,ReferenceType
org.apache.camel.RuntimeExpressionException	RuntimeExpressionException,BasicType,VariableDeclarator,RuntimeExpressionException,message,ReferenceType,StatementExpression,MemberReference,RuntimeExpressionException,message,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,RuntimeExpressionException,cause,ReferenceType,StatementExpression,MemberReference,ReferenceType
org.apache.camel.RuntimeTransformException	RuntimeTransformException,BasicType,VariableDeclarator,RuntimeTransformException,message,ReferenceType,StatementExpression,MemberReference,RuntimeTransformException,message,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,RuntimeTransformException,cause,ReferenceType,StatementExpression,MemberReference,ReferenceType
org.apache.camel.Service	Service,start,stop
org.apache.camel.TypeConverter	TypeConverter,convertTo,ReferenceType,type,ReferenceType,ReferenceType,value,ReferenceType
org.apache.camel.bam.ActivityBuilder	ActivityBuilder,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ActivityBuilder,processBuilder,ReferenceType,endpoint,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,ActivityRules,ReferenceType,MemberReference,StatementExpression,MemberReference,setActivityName(),getEndpointUri(),getEndpoint,ReferenceType,ReturnStatement,MemberReference,createProcessor,ReferenceType,ReturnStatement,createActivityProcessor(),createRoute,ReferenceType,ReferenceType,VariableDeclarator,createProcessor(),IfStatement,MemberReference,BlockStatement,ThrowStatement,IllegalArgumentException,ReferenceType,ReturnStatement,EventDrivenConsumerRoute,ReferenceType,getEndpoint(),MemberReference,correlate,ReferenceType,correlationExpression,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,name,ReferenceType,name,ReferenceType,StatementExpression,setActivityName(),MemberReference,ReturnStatement,starts,ReferenceType,ReturnStatement,TimeExpression,ReferenceType,MemberReference,evaluate,ReferenceType,instance,ReferenceType,state,ReferenceType,ReturnStatement,getTimeStarted(),completes,ReferenceType,ReturnStatement,TimeExpression,ReferenceType,MemberReference,evaluate,ReferenceType,instance,ReferenceType,state,ReferenceType,ReturnStatement,getTimeCompleted(),getCorrelationExpression,ReferenceType,ReturnStatement,MemberReference,getActivityRules,ReferenceType,ReturnStatement,MemberReference,getProcessBuilder,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.bam.ActivityLifecycle	
org.apache.camel.bam.ProcessBuilder	ProcessBuilder,BasicType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,ArrayList,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,ProcessRules,ReferenceType,ReferenceType,VariableDeclarator,ProcessBuilder,jpaTemplate,ReferenceType,transactionTemplate,ReferenceType,StatementExpression,MemberReference,MemberReference,createProcessName(),createProcessName,ReferenceType,ReturnStatement,MemberReference,ProcessBuilder,jpaTemplate,ReferenceType,transactionTemplate,ReferenceType,processName,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,activity,ReferenceType,endpointUri,ReferenceType,ReturnStatement,activity(),endpoint(),MemberReference,activity,ReferenceType,endpoint,ReferenceType,ReferenceType,VariableDeclarator,ActivityBuilder,ReferenceType,MemberReference,StatementExpression,add(),MemberReference,ReturnStatement,MemberReference,entityType,ReferenceType,entityType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,createActivityProcessor,ReferenceType,activityBuilder,ReferenceType,StatementExpression,notNull(),MemberReference,StatementExpression,execute(),TransactionCallbackWithoutResult,ReferenceType,doInTransactionWithoutResult,status,ReferenceType,StatementExpression,setProcessDefinition(),getProcessDefinition(),ReturnStatement,JpaBamProcessor,ReferenceType,getTransactionTemplate(),getJpaTemplate(),getCorrelationExpression(),getActivityRules(),getEntityType(),getActivityBuilders,ReferenceType,ReferenceType,ReturnStatement,MemberReference,getEntityType,ReferenceType,ReturnStatement,MemberReference,getJpaTemplate,ReferenceType,ReturnStatement,MemberReference,setJpaTemplate,jpaTemplate,ReferenceType,StatementExpression,MemberReference,MemberReference,getTransactionTemplate,ReferenceType,ReturnStatement,MemberReference,getProcessRules,ReferenceType,ReturnStatement,MemberReference,getProcessName,ReferenceType,ReturnStatement,MemberReference,getProcessDefinition,ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,findOrCreateProcessDefinition(),ReturnStatement,MemberReference,setProcessDefinition,processDefinition,ReferenceType,StatementExpression,MemberReference,MemberReference,populateRoutes,routes,ReferenceType,ReferenceType,BasicType,VariableDeclarator,ForStatement,EnhancedForControl,ReferenceType,VariableDeclarator,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,createRoute(),IfStatement,MemberReference,BlockStatement,StatementExpression,getServices(),add(),ActivityMonitorEngine,ReferenceType,getJpaTemplate(),getTransactionTemplate(),getProcessRules(),StatementExpression,MemberReference,StatementExpression,add(),MemberReference,findOrCreateActivityDefinition,ReferenceType,activityName,ReferenceType,ReferenceType,VariableDeclarator,getProcessDefinition(),ReferenceType,ReferenceType,VariableDeclarator,find(),getName(),ReferenceType,MemberReference,MemberReference,IfStatement,isEmpty(),BlockStatement,ReturnStatement,get(),BlockStatement,ReferenceType,VariableDeclarator,ActivityDefinition,ReferenceType,StatementExpression,setName(),MemberReference,StatementExpression,setProcessDefinition(),getRefreshedProcessDefinition(),MemberReference,MemberReference,StatementExpression,persist(),MemberReference,ReturnStatement,MemberReference,findOrCreateProcessDefinition,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,find(),getName(),ReferenceType,MemberReference,IfStatement,isEmpty(),BlockStatement,ReturnStatement,get(),BlockStatement,ReferenceType,VariableDeclarator,ProcessDefinition,ReferenceType,StatementExpression,setName(),MemberReference,StatementExpression,persist(),MemberReference,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.bam.TimeExpression	TimeExpression,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,TimeExpression,builder,ReferenceType,lifecycle,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,getActivityRules(),isActivityLifecycle,BasicType,activityRules,ReferenceType,lifecycle,ReferenceType,ReturnStatement,equals(),MemberReference,MemberReference,equals(),MemberReference,MemberReference,after,ReferenceType,expression,ReferenceType,ReferenceType,VariableDeclarator,TemporalRule,ReferenceType,MemberReference,StatementExpression,getSecond(),getActivityRules(),addRule(),MemberReference,ReturnStatement,MemberReference,evaluate,ReferenceType,processInstance,ReferenceType,ReferenceType,VariableDeclarator,getActivityState(),MemberReference,IfStatement,MemberReference,BlockStatement,ReturnStatement,evaluate(),MemberReference,MemberReference,ReturnStatement,evaluate,ReferenceType,instance,ReferenceType,state,ReferenceType,getBuilder,ReferenceType,ReturnStatement,MemberReference,getActivityRules,ReferenceType,ReturnStatement,MemberReference,getLifecycle,ReferenceType,ReturnStatement,MemberReference,getActivityState,ReferenceType,instance,ReferenceType,ReturnStatement,getActivityState(),MemberReference,getOrCreateActivityState,ReferenceType,instance,ReferenceType,ReturnStatement,getOrCreateActivityState(),MemberReference
org.apache.camel.bam.model.ActivityDefinition	ActivityDefinition,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,getId,ReferenceType,ReturnStatement,getId(),toString,ReferenceType,ReturnStatement,getId(),getName(),getName,ReferenceType,ReturnStatement,MemberReference,setName,name,ReferenceType,StatementExpression,MemberReference,MemberReference,getProcessDefinition,MemberReference,MemberReference,ReferenceType,ReturnStatement,MemberReference,setProcessDefinition,processDefinition,ReferenceType,StatementExpression,MemberReference,MemberReference,ReferenceType
org.apache.camel.bam.model.ActivityState	ActivityState,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,getId,ReferenceType,ReturnStatement,getId(),toString,ReferenceType,ReturnStatement,getId(),getActivityDefinition(),processExchange,activityRules,ReferenceType,context,ReferenceType,BasicType,VariableDeclarator,ReferenceType,VariableDeclarator,getReceivedMessageCount(),IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,intValue(),StatementExpression,setReceivedMessageCount(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,onFirstMessage(),MemberReference,BasicType,VariableDeclarator,getExpectedMessages(),IfStatement,MemberReference,MemberReference,BlockStatement,StatementExpression,onExpectedMessage(),MemberReference,IfStatement,MemberReference,MemberReference,BlockStatement,StatementExpression,onExcessMessage(),MemberReference,isActivity,BasicType,activityRules,ReferenceType,ReturnStatement,equals(),getActivityDefinition(),getActivityDefinition(),getProcessInstance,MemberReference,MemberReference,ReferenceType,ReturnStatement,MemberReference,setProcessInstance,processInstance,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,getActivityStates(),add(),getActivityDefinition,MemberReference,MemberReference,ReferenceType,ReturnStatement,MemberReference,setActivityDefinition,activityDefinition,ReferenceType,StatementExpression,MemberReference,MemberReference,getEscalationLevel,ReferenceType,ReturnStatement,MemberReference,setEscalationLevel,escalationLevel,ReferenceType,StatementExpression,MemberReference,MemberReference,getReceivedMessageCount,ReferenceType,ReturnStatement,MemberReference,setReceivedMessageCount,receivedMessageCount,ReferenceType,StatementExpression,MemberReference,MemberReference,getTimeExpected,ReferenceType,ReturnStatement,MemberReference,setTimeExpected,timeExpected,ReferenceType,StatementExpression,MemberReference,MemberReference,getTimeOverdue,ReferenceType,ReturnStatement,MemberReference,setTimeOverdue,timeOverdue,ReferenceType,StatementExpression,MemberReference,MemberReference,setTimeCompleted,timeCompleted,ReferenceType,StatementExpression,setTimeCompleted(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,setEscalationLevel(),onFirstMessage,context,ReferenceType,IfStatement,isStarted(),BlockStatement,StatementExpression,setTimeStarted(),currentTime(),StatementExpression,onStarted(),onExpectedMessage,context,ReferenceType,IfStatement,isCompleted(),BlockStatement,StatementExpression,setTimeCompleted(),currentTime(),StatementExpression,onCompleted(),onExcessMessage,context,ReferenceType,currentTime,ReferenceType,ReturnStatement,Date,ReferenceType,ReferenceType
org.apache.camel.bam.model.EntitySupport	EntitySupport,ReferenceType,VariableDeclarator,getId,ReferenceType,ReturnStatement,MemberReference,setId,id,ReferenceType,StatementExpression,MemberReference,MemberReference,toString,ReferenceType,ReturnStatement,getClass(),getName(),MemberReference
org.apache.camel.bam.model.ProcessDefinition	ProcessDefinition,ReferenceType,VariableDeclarator,getLog(),ReferenceType,ReferenceType,VariableDeclarator,getId,ReferenceType,ReturnStatement,getId(),getName,ReferenceType,ReturnStatement,MemberReference,setName,name,ReferenceType,StatementExpression,MemberReference,MemberReference,getRefreshedProcessDefinition,ReferenceType,template,ReferenceType,definition,ReferenceType,StatementExpression,notNull(),MemberReference,ReferenceType,VariableDeclarator,getId(),IfStatement,MemberReference,BlockStatement,StatementExpression,warn(),ReturnStatement,findOrCreateProcessDefinition(),MemberReference,getName(),StatementExpression,MemberReference,find(),ReferenceType,MemberReference,ReturnStatement,MemberReference,findOrCreateProcessDefinition,ReferenceType,template,ReferenceType,processName,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,find(),getName(),ReferenceType,MemberReference,IfStatement,isEmpty(),BlockStatement,ReturnStatement,get(),BlockStatement,ReferenceType,VariableDeclarator,ProcessDefinition,ReferenceType,StatementExpression,setName(),MemberReference,StatementExpression,persist(),MemberReference,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.bam.model.ProcessInstance	ProcessInstance,ReferenceType,VariableDeclarator,getLog(),ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,HashSet,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,ProcessInstance,StatementExpression,setTimeStarted(),Date,ReferenceType,toString,ReferenceType,ReturnStatement,getClass(),getName(),getId(),getCorrelationKey(),getId,ReferenceType,ReturnStatement,getId(),getProcessDefinition,MemberReference,MemberReference,ReferenceType,ReturnStatement,MemberReference,setProcessDefinition,processDefinition,ReferenceType,StatementExpression,MemberReference,MemberReference,getActivityStates,MemberReference,MemberReference,ReferenceType,ReferenceType,ReturnStatement,MemberReference,setActivityStates,activityStates,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,getCorrelationKey,ReferenceType,ReturnStatement,MemberReference,setCorrelationKey,correlationKey,ReferenceType,StatementExpression,MemberReference,MemberReference,getActivityState,ReferenceType,activityRules,ReferenceType,ForStatement,EnhancedForControl,ReferenceType,VariableDeclarator,getActivityStates(),BlockStatement,IfStatement,isActivity(),MemberReference,BlockStatement,ReturnStatement,MemberReference,ReturnStatement,getOrCreateActivityState,ReferenceType,activityRules,ReferenceType,ReferenceType,VariableDeclarator,getActivityState(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,createActivityState(),StatementExpression,setProcessInstance(),StatementExpression,setActivityDefinition(),getActivityDefinition(),ReturnStatement,MemberReference,createActivityState,ReferenceType,ReturnStatement,ActivityState,ReferenceType,ReferenceType
org.apache.camel.bam.model.TemporalEntity	TemporalEntity,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,isStarted,BasicType,ReturnStatement,MemberReference,isCompleted,BasicType,ReturnStatement,MemberReference,getTimeStarted,ReferenceType,ReturnStatement,MemberReference,setTimeStarted,timeStarted,ReferenceType,StatementExpression,MemberReference,MemberReference,getTimeCompleted,ReferenceType,ReturnStatement,MemberReference,setTimeCompleted,timeCompleted,ReferenceType,StatementExpression,MemberReference,MemberReference,ReferenceType
